file path,transcript
audios/chunk69_0_20200419_121501.wav,First I am so eager to show you these.
audios/chunk69_1_20200419_121500.wav,is comprised of
audios/chunk69_1_20200419_121531.wav,Elvis Aloha Oe
audios/chunk69_1_20200419_121548.wav,Now they're ready to get started with the eyes.
audios/chunk69_3_20200419_121549.wav,Make sure you make up.
audios/chunk70_1_20200419_121531.wav,poisoned image dragon family
audios/chunk71_0_20200419_121531.wav,I apologize. I don't I don't mean to frighten you.
audios/chunk71_1_20200419_121500.wav,golden sequence
audios/chunk72_0_20200419_121501.wav,i-Ready Fry's
audios/chunk72_0_20200419_121531.wav,I must have everything around here will treat you kindly so long as you do the same.
audios/chunk73_0_20200419_121501.wav,Pirates bar
audios/chunk73_1_20200419_121548.wav,I really don't want the eyeshadow to crazy.
audios/chunk73_2_20200419_121501.wav,It's clearly you're not wearing them for function just for fashion.
audios/chunk75_0_20200419_121531.wav,What did the mermaid do when she saw you?
audios/chunk75_1_20200419_121500.wav,fire Landover
audios/chunk75_2_20200419_121501.wav,"And these are a lovely shade on you back for everything that you know, I'm always such a fan."
audios/chunk76_1_20200419_121500.wav,NFL weather
audios/chunk76_1_20200419_121548.wav,honey bunny hours
audios/chunk77_1_20200419_121531.wav,Are looking beautiful. I think that sounds fair.
audios/chunk79_0_20200419_121501.wav,a vegetable since the last summer
audios/chunk79_2_20200419_121501.wav,3D touch
audios/chunk7_1_20200419_121531.wav,"Yes, I know most of them my heart but tonight I'm making quite a rare special meal."
audios/chunk7_2_20200419_121501.wav,Do you mind if I have a look at these beside your face?
audios/chunk80_0_20200419_121501.wav,How many days left?
audios/chunk80_0_20200419_121531.wav,It looks like the other one said finally almost to you.
audios/chunk80_2_20200419_121531.wav,So if I went crossed ever appears at your feet.
audios/chunk81_1_20200419_121500.wav,purchase and acquisition
audios/chunk82_1_20200419_121531.wav,quality promise
audios/chunk83_0_20200419_121501.wav,"Also, it's honestly a little spicy."
audios/chunk84_0_20200419_121501.wav,weather now in it
audios/chunk84_1_20200419_121531.wav,It looks a lot better than usual.
audios/chunk84_2_20200419_121501.wav,embellish
audios/chunk85_0_20200419_121501.wav,Laura Wagner
audios/chunk86_1_20200419_121531.wav,"Gorgeous, isn't it?"
audios/chunk87_3_20200419_121549.wav,independent
audios/chunk88_0_20200419_121501.wav,DJ lady
audios/chunk88_0_20200419_121531.wav,Just a bit of whirling not well clear. Those are.
audios/chunk90_0_20200419_121501.wav,Was always kind of sexy and mysterious.
audios/chunk90_0_20200419_121531.wav,How did you even met?
audios/chunk90_1_20200419_121531.wav,very mysterious
audios/chunk90_2_20200419_121501.wav,Let's be such a nice. If you are going to go with any pearl jewelry our hair accessories.
audios/chunk91_0_20200419_121501.wav,Until the time. She took me in her refrigerator and never called me back.
audios/chunk91_0_20200419_121531.wav,girl anywhere near the villages Cottage only
audios/chunk91_1_20200419_121500.wav,Next I would love to show you.
audios/chunk92_1_20200419_121500.wav,best dining red skirt
audios/chunk92_1_20200419_121531.wav,If you have anything shiny.
audios/chunk94_2_20200419_121501.wav,Mrs. Nice.
audios/chunk95_0_20200419_121501.wav,The glad you're enjoying the strawberry banana swirl.
audios/chunk95_0_20200419_121531.wav,What did you think of her?
audios/chunk95_1_20200419_121500.wav,accordion skirt
audios/chunk97_2_20200419_121501.wav,Dan Brown
audios/chunk98_0_20200419_121501.wav,Totally thought I was over that sorry.
audios/chunk98_0_20200419_121531.wav,"yes, you be quite intimidating, but"
audios/chunk99_0_20200419_121501.wav,You get pretty passionate when it comes to.
audios/chunk99_0_20200419_121531.wav,She means well.
audios/chunk100_0_20200419_121531.wav,TV show Awake
audios/chunk101_0_20200419_121501.wav,So what do you think of the shifts?
audios/chunk107_0_20200419_121531.wav,I was them as collecting ingredients for stew.
audios/chunk10_1_20200419_121500.wav,"Girl, probably all the shinies."
audios/chunk10_3_20200419_121500.wav,clean slate
audios/chunk110_0_20200419_121531.wav,When she spotted Beach.
audios/chunk112_1_20200419_121500.wav,Why you're having?
audios/chunk114_1_20200419_121500.wav,innocently
audios/chunk117_0_20200419_121531.wav,And I offered her one of the Persimmons. I just harvested.
audios/chunk117_1_20200419_121500.wav,Rihanna Snapchat next ones
audios/chunk119_0_20200419_121501.wav,All of it.
audios/chunk119_0_20200419_121531.wav,She said it depends how tasty the person.
audios/chunk124_0_20200419_121501.wav,Before you know it works every time.
audios/chunk124_0_20200419_121531.wav,Box lyrics
audios/chunk126_0_20200419_121501.wav,almost most of the time
audios/chunk12_1_20200419_121500.wav,Listed on ahead and sleep.
audios/chunk12_1_20200419_121531.wav,spiced Partridge with pepper garlic coriander
audios/chunk131_0_20200419_121501.wav,Where's the burrito?
audios/chunk131_0_20200419_121531.wav,Brighten a complete stranger in such a way.
audios/chunk133_0_20200419_121531.wav,giving myself too much credit
audios/chunk135_0_20200419_121531.wav,I still sometimes threatened by second Smithereens when she's making fun of me.
audios/chunk136_0_20200419_121531.wav,Mexican earthquake mad
audios/chunk13_1_20200419_121500.wav,adult Time adventure comes along who is tragically there without being and
audios/chunk13_3_20200419_121549.wav,You're not going to have to worry about this.
audios/chunk140_0_20200419_121501.wav,I also got some jewelry selections in here if you're ready. Start taking a counter.
audios/chunk14_3_20200419_121500.wav,for the clothing
audios/chunk158_0_20200419_121531.wav,all my recipe book
audios/chunk15_0_20200419_121549.wav,So you can go ahead and have a seat.
audios/chunk16_2_20200419_121549.wav,bonding brush
audios/chunk18_0_20200419_121549.wav,How would you describe your skin die?
audios/chunk19_0_20200419_121531.wav,How would you like to drink?
audios/chunk19_3_20200419_121500.wav,I was hoping you'd say that.
audios/chunk22_3_20200419_121500.wav,most incredible red shade
audios/chunk24_1_20200419_121548.wav,Reggie Miller
audios/chunk25_0_20200419_121531.wav,Would you like me to take your coat?
audios/chunk32_2_20200419_121549.wav,Are they going to make it rise?
audios/chunk34_0_20200419_121531.wav,"as far as hard to find I believe in the run errands, so"
audios/chunk36_0_20200419_121549.wav,allergies or sensitivity. any skin care makeup products
audios/chunk36_1_20200419_121548.wav,Find asleep with that.
audios/chunk37_1_20200419_121531.wav,well
audios/chunk38_1_20200419_121531.wav,pawn shop
audios/chunk41_0_20200419_121549.wav,your face
audios/chunk42_1_20200419_121500.wav,shiny black pants
audios/chunk45_1_20200419_121531.wav,Chicago taste of the dark
audios/chunk48_1_20200419_121500.wav,Oscar the Grouch bed sheet
audios/chunk54_1_20200419_121500.wav,But I am also so soft and fuzzy on my God hold me.
audios/chunk57_0_20200419_121501.wav,So you got a Christmas party In The Hills tonight at nine.
audios/chunk58_1_20200419_121531.wav,Bella persistent as she does
audios/chunk59_1_20200419_121531.wav,the final straw
audios/chunk59_3_20200419_121549.wav,naked breasts lips
audios/chunk60_0_20200419_121501.wav,I did go a little crazy with the shopping list. I'm I just saw so many things.
audios/chunk62_1_20200419_121531.wav,I'm having a bit of a dark story.
audios/chunk63_0_20200419_121531.wav,powerful protective properties and beauty
audios/chunk65_2_20200419_121501.wav,I'm sorry streamlined the Highlight over the top.
audios/chunk68_0_20200419_121549.wav,Why do primaries?
audios/chunk6_1_20200419_121500.wav,like this
audios/chunk70_0_20200419_121531.wav,I'll be sitting here in front of me.
audios/chunk71_3_20200419_121549.wav,We have to seal it with it.
audios/chunk79_0_20200419_121531.wav,Which managed to get scraped up again?
audios/chunk79_1_20200419_121531.wav," mm Roxbury fertilizers, what's up?"
audios/chunk7_1_20200419_121500.wav,Shopkin statement
audios/chunk7_3_20200419_121549.wav,the first one is the nix simple nude live cream
audios/chunk82_0_20200419_121501.wav,That's going to make me look like such a baddie sitting next to you.
audios/chunk83_2_20200419_121501.wav,First is a nice matte black leather.
audios/chunk84_0_20200419_121531.wav,Funny for you have the antidote.
audios/chunk87_0_20200419_121501.wav,"Oh my God, the dexterity."
audios/chunk89_1_20200419_121531.wav,But you do have to water a little pixie. Sleep out up loud sometimes
audios/chunk92_0_20200419_121501.wav,All my frozen fruit was still in there.
audios/chunk92_0_20200419_121531.wav,He must have visited IG.
audios/chunk92_2_20200419_121501.wav,Any other option little bit edgier?
audios/chunk93_0_20200419_121501.wav,sometimes I stare at Pilates and I'm like wow that
audios/chunk94_0_20200419_121501.wav,Scrumptious smoothie are holding came at the small price of my heart.
audios/chunk97_0_20200419_121501.wav,Hope your Monday sucks and you choke on a junk on Fallout 4 as peanut butter.
audios/chunk9_1_20200419_121500.wav,gold and jewels and
